a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a20,output
0,12,0,6,1108,0,3,4,2,0,3,0,28,2,1,2,2,1,0,0,1
3,27,2,6,5190,4,4,4,2,0,4,1,48,2,1,4,2,2,1,0,0
1,10,1,4,1048,0,2,4,2,0,4,0,23,1,1,1,1,1,0,0,0
0,12,2,3,1620,0,2,2,1,1,3,1,30,2,1,1,2,1,0,0,0
1,48,2,4,3060,0,3,4,2,0,4,0,28,2,1,2,2,1,0,0,1
1,6,3,9,1449,1,4,1,0,0,2,2,31,0,1,2,2,2,0,0,0
1,9,2,3,959,0,2,1,1,0,2,2,29,2,1,1,2,1,0,1,1
0,24,0,3,4110,0,4,3,2,0,4,3,23,0,0,2,2,2,0,0,1
0,36,4,3,2348,0,2,3,3,0,2,1,46,2,1,2,2,1,1,0,0
3,24,4,9,4526,0,2,3,2,0,2,0,74,2,1,1,3,1,1,0,0
3,24,4,4,1516,3,2,4,1,0,1,0,43,2,1,2,1,1,0,0,0
1,24,2,1,4113,2,1,3,1,0,4,2,28,2,0,1,2,1,0,0,1
1,21,3,0,2353,0,2,1,0,0,4,1,47,2,1,2,2,1,0,0,0
3,10,2,0,1364,0,2,2,1,0,4,2,64,2,1,1,2,1,1,0,0
1,36,2,7,12612,1,2,1,2,0,4,3,47,2,2,1,2,2,1,0,1
3,36,2,0,909,2,4,4,2,0,4,1,36,2,1,1,2,1,0,0,0
1,12,2,4,1331,0,1,2,2,0,1,2,22,1,1,1,2,1,0,0,1
1,36,0,9,1953,0,4,4,2,0,4,3,61,2,2,1,3,1,1,0,1
1,20,0,1,6148,1,4,3,3,0,4,2,31,0,1,2,2,1,1,0,0
3,36,2,3,10974,0,0,4,1,0,2,2,26,2,1,2,3,1,1,0,1
2,10,4,4,1347,4,3,4,2,0,2,1,27,2,1,2,2,1,1,0,0
1,24,4,2,11938,0,2,2,2,1,3,2,39,2,1,2,3,2,1,0,1
3,18,4,4,2404,0,2,2,1,0,2,2,26,2,1,2,2,1,0,0,0
3,12,4,4,1934,0,4,2,2,0,2,3,26,2,1,2,2,1,0,0,0
3,36,4,0,7855,0,2,4,1,0,2,0,25,1,1,2,2,1,1,0,1
1,12,2,0,1007,3,2,4,3,0,1,0,22,2,1,1,2,1,0,0,0
1,9,2,3,2030,4,3,2,2,0,1,2,24,2,1,1,2,1,1,0,0
0,36,2,3,2712,0,4,2,2,0,2,1,41,0,1,1,2,2,0,0,1
1,30,0,9,4221,0,2,2,1,0,1,2,28,2,1,2,2,1,0,0,0
0,18,4,0,5302,0,4,2,2,0,4,3,36,2,2,3,3,1,1,0,0
2,24,2,4,1377,1,4,4,1,0,2,3,47,2,2,1,2,1,1,0,0
0,24,4,1,6615,0,0,2,2,0,4,3,75,2,2,2,3,1,1,0,0
1,6,2,4,590,0,1,3,3,0,3,0,26,2,1,1,1,1,0,1,0
1,36,2,0,12389,4,2,1,2,0,4,3,37,2,2,1,2,1,1,0,1
1,12,2,4,1092,0,2,4,1,2,4,0,49,2,1,2,2,1,1,0,0
0,21,2,0,3763,4,3,2,2,1,2,0,24,2,1,1,1,1,0,1,0
0,42,2,3,7882,0,3,2,2,2,4,1,45,2,2,1,2,2,0,0,0
0,36,4,1,9629,0,3,4,2,0,4,2,24,2,1,2,2,1,1,0,1
0,12,4,0,2171,0,2,4,2,0,4,1,38,0,1,2,1,1,0,1,0
0,24,2,0,1371,4,2,4,1,0,4,0,25,2,0,1,2,1,0,0,1
3,30,2,1,4811,4,3,2,1,0,4,1,24,1,0,1,1,1,0,0,0
0,18,2,4,2389,0,1,4,1,0,1,2,27,1,1,1,2,1,0,0,0
1,18,4,3,7374,0,0,4,2,0,4,1,40,1,1,2,3,1,1,0,0
3,24,2,0,1474,1,1,4,3,0,3,0,33,2,1,1,2,1,1,0,0
0,24,2,0,1285,4,3,4,1,0,4,3,32,2,0,1,2,1,0,0,1
0,18,2,0,976,0,1,1,1,0,2,2,23,2,1,1,1,1,0,0,1
0,12,2,0,1893,0,2,4,1,2,4,1,29,2,1,1,2,1,1,0,0
0,18,2,0,2249,1,3,4,2,0,3,2,30,2,1,1,3,2,1,0,0
3,18,3,3,1808,0,3,4,1,0,1,0,22,2,1,1,2,1,0,0,1
3,12,2,4,2141,1,3,3,2,0,1,3,35,2,1,1,2,1,0,0,0
3,36,3,4,4463,0,2,4,2,0,2,2,26,2,1,2,3,1,1,0,1
0,24,2,3,3021,0,2,2,0,0,2,0,24,2,0,1,1,1,0,0,0
0,14,2,0,3973,0,0,1,2,0,4,3,22,2,2,1,2,1,0,0,0
0,12,2,0,1372,0,3,2,0,0,3,2,36,2,1,1,2,1,0,0,1
3,30,2,4,1867,4,4,4,2,0,4,2,58,2,1,1,2,1,1,0,0
3,42,2,4,7166,4,3,2,3,0,4,1,29,2,0,1,2,1,1,0,0
3,15,4,3,1520,4,4,4,2,0,4,1,63,2,1,1,2,1,0,0,0
1,12,2,0,888,0,4,4,2,0,4,2,41,0,1,1,1,2,0,0,1
0,6,4,0,860,0,4,1,1,0,4,3,39,2,1,2,2,1,1,0,0
1,12,2,8,754,4,4,4,2,0,4,1,38,2,1,2,2,1,0,0,0
0,15,2,4,1053,0,1,4,3,0,2,0,27,2,1,1,2,1,0,1,0
0,28,2,0,4006,0,2,3,2,0,2,2,45,2,1,1,1,1,0,0,1
0,11,4,0,3905,0,2,2,2,0,2,0,36,2,0,2,2,2,0,0,0
3,15,4,3,3343,0,2,4,2,0,2,3,28,2,2,1,2,1,1,0,0
1,36,2,1,9398,0,1,1,3,0,4,2,28,2,0,1,3,1,1,0,1
1,6,4,8,932,4,3,1,1,0,3,1,39,2,1,2,1,1,0,0,0
1,24,3,4,6403,0,1,1,2,0,2,2,33,2,1,1,2,1,0,0,0
3,24,4,4,2424,4,4,4,2,0,4,1,53,2,1,2,2,1,0,0,0
0,12,2,4,709,0,4,4,2,0,4,0,57,1,1,1,1,1,0,0,1
2,24,4,0,1344,4,3,4,2,0,2,0,37,0,1,2,1,2,0,0,1
1,18,0,0,2278,1,1,3,1,0,3,2,28,2,1,2,2,1,0,0,1
3,12,4,7,2012,4,3,4,1,0,2,2,61,2,1,1,2,1,0,0,0
1,7,2,4,2415,0,2,3,2,2,2,0,34,2,1,1,2,1,0,0,0
2,24,4,3,3617,4,4,4,2,1,4,3,20,2,0,2,2,1,0,0,0
0,8,4,2,1164,0,4,3,2,0,4,3,51,0,2,2,3,2,1,0,0
1,54,0,9,15945,0,1,3,2,0,4,3,58,2,0,1,2,1,1,0,1
1,48,2,4,10961,3,3,1,2,1,2,3,27,0,1,2,2,1,1,0,1
0,6,4,4,1957,0,3,1,1,0,4,2,31,2,1,1,2,1,0,0,0
2,12,2,3,1474,0,1,4,1,0,1,1,33,0,1,1,3,1,1,0,0
2,15,2,4,2327,0,1,2,1,0,3,0,25,2,1,1,1,1,0,0,1
0,24,2,4,1823,0,0,4,2,0,2,2,30,1,1,1,3,2,0,0,1
3,12,4,4,1291,0,2,4,1,0,2,1,35,2,1,2,2,1,0,0,0
0,24,2,3,1747,0,1,4,2,1,1,1,24,2,1,1,1,1,0,1,0
0,24,1,3,2828,2,2,4,2,0,4,0,22,1,1,1,2,1,1,0,0
3,15,4,4,1471,0,2,4,2,0,4,3,35,2,2,2,2,1,1,0,0
1,36,3,0,8086,1,4,2,2,0,4,2,42,2,1,4,3,1,1,0,1
1,24,3,9,6967,1,3,4,2,0,4,2,36,2,0,1,3,1,1,0,0
0,24,2,3,4020,0,2,2,2,0,2,2,27,1,1,1,2,1,0,0,0
1,6,3,3,1050,0,0,4,2,0,1,1,35,1,1,2,3,1,1,0,0
3,10,2,0,1597,2,2,3,2,0,2,3,40,2,0,1,1,2,0,1,0
1,36,2,4,4795,0,1,4,1,0,1,3,30,2,1,1,3,1,1,0,0
0,60,3,9,6836,0,4,3,2,0,4,3,63,2,1,2,2,1,1,0,1
0,12,2,0,1228,0,2,4,1,0,2,0,24,2,1,1,1,1,0,0,1
1,48,2,3,9960,0,1,1,1,0,2,2,26,2,1,1,2,1,1,0,1
2,6,2,3,2116,0,2,2,2,0,2,0,41,2,1,1,2,1,1,0,0
3,12,4,0,926,0,0,1,1,0,2,1,38,2,1,1,0,1,0,0,0
1,36,2,7,2273,0,3,3,2,0,1,2,32,2,1,2,2,2,0,0,0
3,12,4,6,996,4,3,4,1,0,4,0,23,2,1,2,2,1,0,0,0
3,18,2,4,1473,0,1,3,3,0,4,0,39,2,1,1,2,1,1,0,0
3,10,2,0,1287,4,4,4,2,1,2,1,45,2,1,1,1,1,0,1,0
1,18,4,0,1056,0,4,3,2,2,3,0,30,0,1,2,2,1,0,0,1
3,24,2,4,3181,0,1,4,1,0,4,1,26,2,1,1,2,1,1,0,0
3,12,4,3,5801,4,4,2,2,0,4,1,49,2,0,1,2,1,1,0,0
1,6,2,0,14555,4,0,1,2,0,2,1,23,2,1,1,0,1,1,0,1
1,18,4,4,1245,0,2,4,3,0,2,2,33,2,1,1,2,1,0,0,1
3,24,2,3,3972,0,3,2,1,0,4,1,25,2,0,1,2,1,1,0,0
3,24,2,4,1901,1,2,4,2,0,4,2,29,2,0,1,3,1,1,0,0
1,60,1,2,14782,1,4,3,1,0,4,3,60,0,2,2,3,1,1,0,1
3,18,4,4,1098,0,0,4,1,0,4,2,65,2,1,2,0,1,0,0,0
0,27,0,9,5293,0,0,2,2,0,4,1,50,1,1,2,2,1,1,0,1
1,10,2,3,1521,0,2,4,0,0,2,2,31,2,1,1,1,1,0,0,0
0,20,4,0,2235,0,2,4,3,2,2,1,33,0,0,2,2,1,0,1,1
0,14,2,0,8978,0,4,1,0,0,4,1,45,2,1,1,3,1,1,1,1
1,12,0,8,1410,0,2,2,2,0,2,0,31,2,1,1,1,1,1,0,0
0,9,4,4,1138,0,2,4,2,0,4,0,25,2,1,2,1,1,0,0,0
3,9,4,0,1224,0,2,3,2,0,1,0,30,2,1,2,2,1,0,0,0
3,24,2,0,1469,1,4,4,3,0,4,0,41,2,0,1,1,1,0,0,0
3,36,4,1,5842,0,4,2,2,0,2,1,35,2,1,2,2,2,1,0,0
0,36,4,7,8065,0,2,3,1,0,2,3,25,2,1,2,3,1,1,0,1
1,24,4,0,3878,1,1,4,0,0,2,2,37,2,1,1,2,1,1,0,0
0,8,4,0,3398,0,3,1,2,0,4,0,39,2,1,2,1,1,0,1,0
1,12,4,1,1804,1,1,3,2,0,4,1,44,2,1,1,2,1,0,0,0
3,12,4,0,1495,0,4,4,2,0,1,0,38,2,1,2,1,2,0,0,0
3,18,3,9,2169,0,2,4,3,0,2,2,28,2,1,1,2,1,1,0,1
0,24,2,1,2910,0,3,2,2,0,1,3,34,2,2,1,3,1,1,0,0
1,48,4,3,5096,0,2,2,1,0,3,2,30,2,1,1,3,1,1,0,1
3,21,2,1,5248,4,2,1,2,0,3,2,26,2,1,1,2,1,0,0,0
1,30,4,0,5234,0,0,4,3,0,2,2,28,2,1,2,3,1,0,0,1
1,27,3,1,5965,0,4,1,2,0,2,2,30,2,1,2,3,1,1,0,0
0,6,2,0,662,0,1,3,2,0,4,0,41,2,1,1,1,2,1,0,0
0,24,3,4,1024,0,1,4,3,0,4,0,48,1,1,1,2,1,0,0,1
0,36,2,3,5179,0,3,4,2,0,2,1,29,2,1,1,2,1,0,0,1
3,48,4,9,7629,4,4,4,0,0,2,2,46,0,1,2,3,2,0,0,0
3,6,0,0,1204,1,2,4,2,0,1,3,35,0,0,1,2,1,0,1,0
1,9,4,3,1919,0,3,4,2,0,3,2,35,2,0,1,2,1,1,0,0
1,15,0,0,1778,0,1,2,1,0,1,0,26,2,0,2,0,1,0,0,1
1,42,4,9,5954,0,3,2,1,0,1,0,41,0,1,2,1,1,0,0,0
0,12,2,3,2578,0,0,3,1,0,4,3,55,2,2,1,3,1,0,0,0
3,24,4,0,1940,3,4,4,2,0,4,0,60,2,1,1,2,1,1,0,0
0,24,2,3,2359,1,0,1,0,0,1,1,33,2,1,1,2,1,0,0,1
3,6,2,8,1238,4,0,4,2,0,4,1,36,2,1,1,3,2,1,0,0
1,12,2,4,1534,0,1,1,3,0,1,0,23,2,0,1,2,1,0,0,1
0,18,3,7,8471,4,2,1,1,0,2,2,23,2,0,2,2,1,1,0,0
0,24,3,4,1659,0,1,4,1,0,2,2,29,2,0,1,1,1,1,0,1
3,9,2,0,3577,1,2,1,2,2,2,0,26,2,0,1,2,2,0,1,0
3,6,2,3,1766,0,2,1,3,0,2,1,21,2,0,1,2,1,0,0,0
1,9,2,4,2118,0,2,2,2,0,2,0,37,2,1,1,1,2,0,0,0
1,12,2,0,2002,0,3,3,2,0,4,1,30,2,0,1,2,2,1,0,0
3,24,2,4,2284,0,3,4,2,0,2,2,28,2,1,1,2,1,1,0,0
3,21,3,3,1591,1,3,4,2,0,3,0,34,2,1,2,3,1,0,0,0
1,9,1,0,1437,1,3,2,2,0,3,3,29,2,1,1,2,1,0,0,1
3,15,4,7,1532,1,2,4,1,0,3,2,31,2,1,1,2,1,0,0,0
0,9,2,0,1422,0,1,3,2,0,2,3,27,2,2,1,3,1,1,0,1
0,12,2,4,1107,0,2,2,2,0,2,0,20,2,0,1,3,2,1,0,0
3,6,4,0,250,3,2,2,1,0,2,0,41,0,1,2,1,1,0,0,0
3,18,2,4,1505,0,2,4,2,0,2,3,32,2,2,1,3,1,1,0,0
1,24,2,1,12579,0,4,4,1,0,2,3,44,2,2,1,3,1,1,0,1
3,42,4,3,4042,2,2,4,2,0,4,0,36,2,1,2,2,1,1,0,0
3,15,4,3,2788,0,3,2,1,1,3,2,24,0,1,2,2,1,0,0,0
0,42,2,4,3965,0,1,4,2,0,3,2,34,2,1,1,2,1,0,0,1
1,18,3,6,6204,0,2,2,2,0,4,0,44,2,1,1,1,2,1,0,0
1,12,2,0,1295,0,1,3,1,0,1,2,25,2,0,1,2,1,0,0,1
1,36,3,9,9857,1,3,1,2,0,3,1,31,2,1,2,1,2,1,0,0
3,12,2,3,1123,2,2,4,1,0,4,2,29,2,0,1,1,1,0,0,1
1,12,4,0,3124,0,1,1,2,0,3,0,49,0,1,2,1,2,0,0,0
3,24,2,4,3621,1,4,2,2,0,4,2,31,2,1,2,2,1,0,0,1
0,30,2,3,6350,4,4,4,2,0,4,1,31,2,1,1,2,1,0,0,1
3,15,2,4,1979,4,4,4,2,0,2,2,35,2,1,1,2,1,0,0,0
3,22,2,0,1283,4,3,4,1,0,4,1,25,2,0,1,2,1,0,0,0
0,42,3,4,4370,0,3,3,2,0,2,1,26,0,1,2,2,2,1,0,1
0,21,2,4,3357,3,1,4,1,0,2,2,29,0,1,1,2,1,0,0,0
1,9,2,4,1670,0,1,4,1,0,2,2,22,2,1,1,2,1,1,0,1
3,18,2,0,6761,4,2,2,2,0,4,2,68,2,0,2,2,1,0,0,1
1,12,2,0,6078,0,3,2,2,0,2,2,32,2,1,1,2,1,0,0,0
0,18,2,4,3190,0,2,2,1,0,2,0,24,2,1,1,2,1,0,0,1
0,12,4,1,1526,0,4,4,2,0,4,3,66,2,2,2,3,1,0,0,0
3,6,1,0,783,4,2,1,2,2,2,0,26,1,1,1,1,2,0,0,0
0,24,2,1,2964,4,4,4,2,0,4,3,49,0,2,1,2,2,1,0,0
2,10,2,3,1275,0,1,4,1,0,2,1,23,2,1,1,2,1,0,0,0
0,30,0,3,4583,0,2,2,0,2,2,0,32,2,1,2,2,1,0,0,0
3,24,4,1,6842,4,2,2,2,0,4,1,46,2,1,2,3,2,1,0,0
3,18,2,3,1984,0,2,4,2,0,4,3,47,0,2,2,2,1,0,0,0
3,18,4,4,2238,0,2,2,1,0,1,2,25,2,1,2,2,1,0,0,0
3,10,2,1,2901,4,1,1,1,0,4,0,31,2,0,1,2,1,0,0,0
0,24,4,0,1199,0,4,4,2,0,4,2,60,2,1,2,1,1,0,0,1
0,18,2,3,2659,3,2,4,2,0,2,2,28,2,1,1,2,1,0,0,0
0,48,2,4,6999,0,3,1,3,2,1,0,34,2,1,2,2,1,1,0,1
0,24,2,4,2439,0,1,4,1,0,4,0,35,2,1,1,2,1,1,0,1
0,48,2,7,7476,0,3,4,2,0,1,3,50,2,2,1,3,1,1,0,0
3,24,2,1,2603,3,2,2,1,0,4,2,28,2,0,1,2,1,1,0,0
3,21,0,0,5003,4,2,1,1,0,4,1,29,0,1,2,2,1,1,0,1
1,20,3,1,7057,4,3,3,2,0,4,1,36,0,0,2,3,2,1,0,0
1,9,2,9,1391,0,2,2,3,0,1,0,27,0,1,1,2,1,1,0,0
3,24,2,0,1393,0,2,2,2,2,2,0,31,2,1,1,2,1,1,0,0
3,24,2,1,2679,0,1,4,1,0,1,3,29,2,1,1,3,1,1,0,0
3,21,4,1,3275,0,4,1,2,0,4,2,36,2,1,1,3,1,1,0,0
3,12,4,0,1255,0,4,4,2,0,4,0,61,2,1,2,1,1,0,0,0
0,15,4,3,1433,0,2,4,1,0,3,1,25,2,0,2,2,1,0,0,0
3,21,3,1,2993,0,2,3,2,0,2,0,28,1,1,2,1,1,0,0,0
3,18,1,0,6458,0,4,2,2,0,4,3,39,0,1,2,3,2,1,0,1
1,12,2,3,2762,4,4,1,1,0,2,1,25,0,1,1,2,1,1,0,1
3,24,4,1,4042,4,3,3,2,0,4,1,43,2,1,2,2,1,1,0,0
3,6,2,1,1236,2,2,2,2,0,4,1,50,2,0,1,2,1,0,0,0
3,21,2,9,1572,3,4,4,1,0,4,0,36,0,1,1,1,1,0,0,0
1,20,3,2,2629,0,2,2,2,0,3,2,29,0,1,2,2,1,1,0,0
3,24,4,4,2578,3,4,2,2,0,2,2,34,2,1,1,2,1,0,0,0
3,12,4,4,976,4,4,4,2,0,4,2,35,2,1,2,2,1,0,0,0
3,18,2,4,2051,0,1,4,2,0,1,0,33,2,1,1,2,1,0,0,0
0,18,0,3,3114,0,1,1,1,0,4,1,26,2,0,1,2,1,0,0,1
3,9,2,9,1449,0,3,3,1,0,2,2,27,2,1,2,2,1,0,0,0
2,42,0,9,6289,0,1,2,0,0,1,1,33,2,1,2,2,1,0,0,0
3,60,2,0,6527,4,2,4,2,0,4,3,34,2,2,1,2,2,1,0,0
0,6,4,0,3676,0,2,1,2,0,3,0,37,2,0,3,2,2,0,0,0
1,6,1,7,433,3,1,4,1,0,2,1,24,0,0,1,2,2,0,0,1
1,21,2,3,3976,4,3,2,2,0,3,2,35,2,1,1,2,1,1,0,0
3,36,4,4,9566,0,2,2,1,0,2,2,31,1,1,2,2,1,0,0,0
1,15,2,6,1514,1,2,4,2,2,2,0,22,2,1,1,2,1,0,0,0
3,24,2,9,4591,3,2,2,2,0,3,1,54,2,1,3,3,1,1,0,1
1,18,4,0,884,0,4,4,2,0,4,2,36,0,1,1,2,2,1,0,1
3,18,2,1,3378,4,2,2,2,0,1,1,31,2,1,1,2,1,1,0,0
3,4,4,4,1544,0,3,2,2,0,1,0,42,2,1,3,1,2,0,0,0
2,24,2,3,3749,0,1,2,1,0,4,2,26,2,1,1,2,1,0,0,0
3,24,3,0,2538,0,4,4,2,0,4,2,47,2,1,2,1,2,0,0,1
0,30,4,1,6187,1,3,1,3,0,4,2,24,2,0,2,2,1,0,0,0
3,24,4,4,2611,0,4,4,3,1,3,0,46,2,1,2,2,1,0,0,0
3,4,2,3,601,0,1,1,1,0,3,0,23,2,0,1,1,2,0,0,0
1,18,2,9,4439,0,4,1,2,1,1,0,33,0,1,1,3,1,1,0,0
0,24,2,4,2384,0,4,4,2,0,4,0,64,0,0,1,1,1,0,0,0
0,12,1,4,626,0,2,4,1,0,4,0,24,0,1,1,1,1,0,0,1
3,18,4,7,1864,1,2,4,1,0,2,0,30,2,1,2,2,1,0,0,1
3,24,2,4,2397,2,4,3,2,0,2,2,35,0,1,2,2,1,1,0,1
0,12,2,0,2579,0,1,4,2,0,1,0,33,2,1,1,1,2,0,0,1
1,18,2,4,1301,0,4,4,3,2,2,0,32,2,1,1,1,1,0,0,0
1,36,3,0,2862,1,4,4,2,0,3,3,30,2,2,1,2,1,0,0,0
3,22,2,4,2675,2,4,3,2,0,4,2,40,2,1,1,2,1,0,0,0
1,11,4,0,1322,3,2,4,1,0,4,2,40,2,1,2,2,1,0,0,0
2,24,2,3,1925,0,2,2,2,0,2,0,26,2,1,1,2,1,0,0,0
1,24,2,0,1201,0,1,4,2,0,1,1,26,2,1,1,2,1,0,0,0
1,12,2,4,1155,0,4,3,3,2,3,0,40,0,1,2,1,1,0,0,0
3,24,4,4,2223,1,4,4,2,0,4,1,52,0,1,2,2,1,0,0,0
3,60,2,4,10144,1,3,2,1,0,4,0,21,2,1,1,2,1,1,0,0
3,30,2,4,2333,2,4,4,2,0,2,2,30,0,1,1,3,1,0,0,0
0,12,2,0,759,0,3,4,2,0,2,0,26,2,1,1,2,1,0,0,1
0,36,2,0,9271,0,3,2,2,0,1,2,24,2,1,1,2,1,1,0,1
0,36,2,3,3446,0,4,4,2,0,2,2,42,2,1,1,2,2,0,0,1
3,18,2,9,1568,1,2,3,1,0,4,1,24,2,0,1,1,1,0,0,0
0,10,2,4,2315,0,4,3,2,0,4,0,52,2,1,1,1,1,0,0,0
1,24,0,9,4241,0,2,1,2,0,4,0,36,2,1,3,1,1,1,0,1
0,36,3,9,2145,0,3,2,2,0,1,2,24,2,1,2,2,1,1,0,1
3,18,3,4,2320,0,0,2,3,0,3,0,34,2,1,2,2,1,0,0,0
3,24,2,4,5943,4,1,1,1,0,1,2,44,2,1,2,2,1,1,0,1
3,9,2,3,1313,0,4,1,2,0,4,2,20,2,1,1,2,1,0,0,0
0,18,4,0,3966,0,4,1,1,0,4,0,33,0,0,3,2,1,1,0,1
1,12,4,0,958,0,3,2,2,0,3,0,47,2,1,2,1,2,0,0,0
1,15,4,4,1537,4,4,4,2,2,4,0,50,2,1,2,2,1,1,0,0
3,15,4,1,3368,3,4,3,2,0,4,3,23,2,0,2,2,1,1,0,0
1,18,3,0,2899,4,4,4,2,0,4,2,43,2,1,1,2,2,0,0,0
3,18,2,9,1950,0,3,4,2,0,1,2,34,1,1,2,2,1,1,0,0
0,20,2,3,2212,4,3,4,2,0,4,2,39,2,1,1,2,1,1,0,0
3,60,2,0,10366,0,4,2,2,0,4,1,42,2,1,1,3,1,1,0,0
0,6,2,0,1374,4,0,4,1,0,3,1,75,2,1,1,3,1,1,0,0
0,18,2,0,4380,1,2,3,2,0,4,2,35,2,1,1,1,2,1,0,0
0,24,2,3,7721,4,1,1,1,0,2,1,30,2,1,1,2,1,1,1,0
0,12,2,4,701,0,2,4,3,0,2,0,40,2,1,1,1,1,0,0,0
3,36,2,7,1819,0,2,4,2,0,4,3,37,1,2,1,2,1,1,0,1
3,6,2,6,660,2,3,2,3,0,4,0,23,2,0,1,1,1,0,0,0
1,12,4,0,2366,2,3,3,0,0,3,2,36,2,1,1,3,1,1,0,0
0,18,2,3,2462,0,2,2,2,0,2,2,22,2,1,1,2,1,0,0,1
1,9,2,4,1082,0,4,4,2,0,4,2,27,2,1,2,1,1,0,0,0
0,42,2,4,7174,4,3,4,1,0,3,2,30,2,1,1,3,1,1,0,1
3,36,4,3,7127,0,1,2,1,0,4,1,23,2,0,2,2,1,1,0,1
3,12,4,3,1258,0,1,2,1,0,4,1,22,2,0,2,1,1,0,0,0
0,48,2,1,10297,0,3,4,2,0,4,3,39,1,2,3,2,2,1,0,1
2,36,2,4,5848,0,2,4,2,0,1,2,24,2,1,1,2,1,0,0,0
3,24,3,0,717,4,4,4,3,0,4,2,54,2,1,2,2,1,1,0,0
1,18,4,3,3612,0,4,3,1,0,4,1,37,2,1,1,2,1,1,0,0
3,15,2,1,3029,0,3,2,2,0,2,2,33,2,1,1,2,1,0,0,0
3,30,4,4,6742,4,3,2,2,0,3,1,36,2,1,2,2,1,0,0,0
1,10,2,0,7308,0,0,2,2,0,4,3,70,0,2,1,3,1,1,0,0
