age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
36,13,207157,31,10,7,23,10,9,2,0,0,40,67,0
39,10,235485,23,12,11,19,7,9,3,0,0,42,80,0
46,16,102628,28,14,13,26,10,9,3,0,0,40,80,0
18,13,25828,17,7,11,21,9,9,3,0,0,16,80,0
66,11,54826,24,11,13,25,7,9,2,0,0,20,80,0
27,13,124953,27,9,11,23,7,9,3,0,1980,40,80,0
28,16,175325,27,9,9,26,6,9,3,0,0,40,80,0
51,13,96062,31,10,9,27,6,9,3,0,1977,40,80,1
27,13,428030,25,13,11,18,7,9,3,0,0,50,80,0
28,16,149624,25,13,9,25,6,9,3,0,0,40,80,1
27,13,253814,27,9,10,27,10,9,2,0,0,25,80,0
21,13,312956,27,9,11,18,9,7,3,0,0,40,80,0
34,13,483777,27,9,11,21,7,7,3,0,0,40,80,0
18,13,183930,27,9,11,23,9,9,3,0,0,12,80,0
33,13,37274,25,13,9,25,6,9,3,0,0,65,80,0
44,11,181344,31,10,9,19,6,7,3,0,0,38,80,1
43,13,114580,31,10,7,16,7,9,2,0,0,40,80,0
30,13,633742,31,10,11,18,7,7,3,0,0,45,80,0
40,13,286370,21,4,9,22,6,9,3,0,0,40,67,1
37,10,29054,31,10,9,16,6,9,3,0,0,42,80,1
34,13,304030,27,9,9,16,6,7,3,0,0,40,80,0
41,15,143129,25,13,7,19,7,9,2,0,0,40,80,0
53,9,135105,25,13,7,15,7,9,2,0,0,50,80,0
31,13,99928,28,14,9,25,11,9,2,0,0,50,80,0
58,16,109567,26,16,9,25,6,9,3,0,0,1,80,1
38,13,155222,31,10,7,22,7,7,2,0,0,28,80,0
24,13,159567,31,10,9,22,6,9,3,0,0,40,80,0
41,11,523910,25,13,9,18,6,7,3,0,0,40,80,0
47,13,120939,31,10,9,28,6,9,3,0,0,45,80,0
41,10,130760,25,13,9,28,6,9,3,0,0,24,80,0
23,13,197387,20,3,9,29,8,9,3,0,0,40,67,0
36,13,99374,31,10,7,18,7,9,3,0,0,40,80,0
40,10,56795,28,14,11,19,7,9,2,14084,0,55,80,1
35,13,138992,28,14,9,25,8,9,3,7298,0,40,80,1
24,15,32921,27,9,11,27,7,9,3,0,0,40,80,0
26,13,397317,28,14,11,25,7,9,2,0,1876,40,80,0
19,9,170653,27,9,11,15,9,9,3,0,0,40,63,0
51,13,259323,25,13,9,19,6,9,3,0,0,50,80,1
42,11,254817,31,10,11,25,7,9,2,0,1340,40,80,0
37,16,48211,27,9,7,16,10,9,2,0,0,35,80,0
18,13,140164,17,7,11,27,9,9,2,0,0,40,80,0
36,13,128757,25,13,9,23,6,7,3,7298,0,36,80,1
35,13,36270,27,9,7,18,7,9,3,0,0,60,80,0
58,14,210563,27,9,9,27,11,9,2,15024,0,35,80,1
17,13,65368,17,7,11,27,9,9,2,0,0,12,80,0
44,11,160943,27,9,9,29,6,7,3,0,0,40,80,0
37,13,208358,27,9,9,18,6,9,3,0,0,40,80,1
35,13,153790,31,10,11,27,7,5,2,0,0,40,80,0
60,13,85815,27,9,9,18,6,6,3,0,0,40,80,0
54,14,125417,21,4,9,22,6,9,3,0,0,40,80,1
37,13,635913,25,13,11,19,7,7,3,0,0,60,80,1
50,13,313321,23,12,7,27,7,9,2,0,0,40,80,0
38,13,182609,25,13,9,27,6,9,3,0,0,50,72,0
45,13,109434,25,13,9,25,6,9,3,0,0,55,80,0
25,13,255004,16,6,11,18,7,9,3,0,0,40,80,0
31,13,197860,31,10,9,21,6,9,3,0,0,40,80,0
64,9,187656,19,2,7,15,7,9,3,0,0,40,80,0
90,13,51744,27,9,11,23,7,7,3,0,2206,40,80,0
54,13,176681,27,9,9,16,6,7,3,0,0,20,80,0
53,11,140359,29,1,11,22,7,9,2,0,0,35,80,0
18,13,243313,27,9,11,27,9,9,2,0,0,40,80,0
60,9,24215,16,6,7,15,7,5,2,0,0,10,80,0
66,15,167687,27,9,9,20,6,9,3,1409,0,50,80,0
75,13,314209,24,11,13,16,7,9,2,0,0,20,45,0
65,13,176796,27,9,7,16,7,9,2,0,0,40,80,0
35,13,538583,17,7,12,29,7,7,3,3674,0,40,80,0
41,13,130408,27,9,7,27,10,7,2,0,0,38,80,0
25,13,159732,31,10,11,16,7,9,3,0,0,42,80,0
33,13,110978,31,10,7,18,8,8,2,0,0,40,80,0
28,13,76714,30,15,11,25,7,9,3,0,0,55,80,1
59,16,268700,27,9,9,23,6,9,3,0,0,40,80,0
40,16,170525,31,10,11,16,7,9,2,0,0,38,80,0
41,13,180138,25,13,9,19,6,9,3,0,0,50,61,1
38,11,115076,28,14,9,19,6,9,3,0,0,70,80,1
23,13,115458,27,9,11,29,9,9,3,0,0,40,80,0
40,13,347890,25,13,9,25,6,9,3,0,0,40,80,1
41,15,196001,27,9,9,23,11,9,2,0,0,20,80,0
24,16,273905,23,12,9,26,6,9,3,0,0,50,80,0
20,9,119156,31,10,11,15,9,9,3,0,0,20,80,0
38,13,179488,31,10,7,18,7,9,3,0,1741,40,80,0
56,13,203580,27,9,9,16,6,9,3,0,0,35,41,0
58,13,236596,27,9,9,16,6,9,3,0,0,45,80,1
32,13,183916,27,9,11,23,7,9,2,0,0,34,80,0
40,13,207578,23,12,9,28,6,9,3,0,1977,60,80,1
45,13,153141,27,9,9,16,6,9,3,0,0,40,41,0
41,13,112763,30,15,9,25,11,9,2,0,0,40,80,1
42,13,390781,25,13,9,16,11,7,2,0,0,40,80,0
59,11,171328,16,6,13,23,10,7,2,0,0,30,80,0
19,11,27382,31,10,11,16,9,9,3,0,0,40,80,0
58,13,259014,31,10,11,29,7,9,3,0,0,20,80,0
42,15,303044,27,9,9,20,6,6,3,0,0,40,42,1
20,13,117789,27,9,11,23,9,9,2,0,0,40,80,0
32,13,172579,27,9,12,23,7,9,2,0,0,30,80,0
45,13,187666,24,11,13,19,7,9,2,0,0,45,80,0
50,13,204518,21,4,7,18,7,9,3,0,0,40,80,0
36,13,150042,25,13,7,25,9,9,2,0,0,40,80,0
45,13,98092,27,9,9,27,6,9,3,0,0,60,80,0
17,13,245918,17,7,11,23,9,9,3,0,0,12,80,0
59,13,146013,31,10,9,27,6,9,3,4064,0,40,80,0
26,13,378322,17,7,9,18,6,9,3,0,0,40,80,0
37,14,257295,31,10,9,19,6,6,3,0,0,75,78,1
19,9,218956,31,10,11,15,9,9,3,0,0,24,43,0
64,13,21174,27,9,9,19,6,9,3,0,0,40,80,1
33,13,185480,25,13,11,25,7,9,2,0,0,45,80,0
33,13,222205,27,9,9,18,11,9,2,0,0,40,80,1
61,13,69867,27,9,9,19,6,9,3,0,0,40,80,1
17,13,191260,22,5,11,23,9,9,3,1055,0,24,80,0
50,15,30653,28,14,9,20,6,9,3,2407,0,98,80,0
27,11,209109,28,14,11,25,9,9,3,0,0,35,80,0
30,13,70377,27,9,7,25,9,9,2,0,0,40,80,0
43,13,477983,27,9,9,21,6,7,3,0,0,40,80,0
44,13,170924,31,10,9,18,6,9,3,7298,0,40,80,1
35,13,190174,31,10,11,19,7,9,2,0,0,40,80,0
25,13,193787,31,10,11,28,9,9,2,0,0,40,80,0
24,13,279472,31,10,9,22,11,9,2,7298,0,48,80,1
22,13,34918,25,13,11,25,7,9,2,0,0,15,52,0
42,11,97688,31,10,9,18,6,9,3,5178,0,40,80,1
34,13,175413,23,12,7,27,10,7,2,0,0,45,80,0
60,13,173960,25,13,7,25,7,9,2,0,0,42,80,0
21,13,205759,27,9,11,21,9,9,3,0,0,40,80,0
57,10,425161,28,14,9,27,6,9,3,15024,0,40,80,1
41,13,220531,30,15,9,25,6,9,3,0,0,60,80,1
50,13,176609,31,10,7,23,7,9,3,0,0,45,80,0
25,13,371987,25,13,11,19,7,9,2,0,0,40,80,0
50,13,193884,21,4,9,18,6,9,3,0,0,40,48,0
36,13,200352,25,13,9,25,6,9,3,0,0,45,80,0
31,13,127595,27,9,7,25,7,9,2,0,0,40,80,0
29,11,220419,25,13,11,26,7,9,3,0,0,56,80,0
21,13,231931,31,10,11,27,9,9,3,0,0,45,80,0
27,13,248402,25,13,11,28,10,7,2,0,0,40,80,0
65,13,111095,27,9,9,29,6,9,3,0,0,16,80,0
37,14,57424,25,13,7,27,7,9,2,0,0,60,80,0
39,9,157443,28,14,9,15,11,6,2,3464,0,40,41,0
24,13,278130,27,9,11,18,9,9,3,0,0,40,80,0
38,13,169469,27,9,7,27,7,9,3,0,0,80,80,0
48,13,146268,25,13,9,16,6,9,3,7688,0,40,80,1
21,13,153718,31,10,11,23,7,6,2,0,0,25,80,0
31,13,217460,27,9,9,29,6,9,3,0,0,45,80,1
55,13,238638,27,9,9,27,6,9,3,4386,0,40,80,1
24,13,303296,31,10,9,16,11,6,2,0,0,40,66,0
43,13,173321,27,9,7,16,7,9,2,0,0,40,80,0
26,13,193945,23,12,11,28,7,9,3,0,0,45,80,0
46,13,83082,23,12,11,25,7,9,2,0,0,33,80,0
35,13,193815,23,12,9,16,6,9,3,0,0,40,80,1
41,14,34987,31,10,9,20,6,9,3,0,0,54,80,1
26,13,59306,25,13,11,27,7,9,3,0,0,40,80,0
34,13,142897,28,14,9,19,6,6,3,7298,0,35,77,1
19,9,860348,31,10,11,15,9,7,2,0,0,25,80,0
36,15,205607,25,13,7,25,7,7,2,0,0,40,80,1
22,13,199698,31,10,11,27,9,9,3,0,0,15,80,0
24,13,191954,31,10,11,22,7,9,3,0,0,40,80,0
77,15,138714,31,10,9,27,6,9,3,0,0,40,80,0
22,13,399087,20,3,9,22,8,9,2,0,0,40,67,0
29,13,423158,31,10,11,28,7,9,2,0,0,40,80,0
62,13,159841,27,9,13,23,7,9,2,0,0,24,80,0
39,15,174308,27,9,9,19,6,9,3,0,0,40,80,0
43,13,50356,31,10,9,18,6,9,3,0,1485,50,80,0
35,13,186110,27,9,7,29,7,9,3,0,0,45,80,0
29,13,200381,17,7,11,19,7,9,2,0,0,40,80,0
76,15,174309,28,14,9,18,6,9,3,0,0,10,80,0
63,15,78383,27,9,9,20,6,9,3,0,0,45,80,0
23,9,211601,24,11,11,15,9,7,2,0,0,15,80,0
43,13,187728,31,10,9,25,11,9,2,0,1887,50,80,1
58,15,321171,27,9,9,21,6,9,3,0,0,40,80,0
66,13,127921,27,9,11,29,7,9,3,2050,0,55,80,0
41,13,206565,31,10,11,18,7,7,3,0,0,45,80,0
26,13,224563,25,13,11,16,7,9,3,0,0,40,80,0
47,13,178686,24,11,11,23,7,9,3,0,0,40,80,0
55,11,98545,16,6,9,16,6,9,3,0,0,40,80,0
53,13,242606,27,9,9,29,6,9,3,0,0,40,80,0
17,13,270942,20,3,11,23,8,9,3,0,0,48,67,0
30,13,94235,27,9,11,18,8,9,3,0,0,40,80,0
49,13,71195,28,14,11,25,7,9,3,0,0,60,80,0
19,13,104112,27,9,11,27,10,7,3,0,0,30,55,0
45,13,261192,27,9,9,23,6,7,3,0,0,40,80,0
26,13,94936,23,12,11,27,7,9,3,0,0,40,80,0
38,13,296478,24,11,9,18,6,9,3,7298,0,40,80,1
36,16,119272,27,9,9,26,6,9,3,7298,0,40,80,1
33,13,85043,27,9,11,20,7,9,3,0,0,20,80,0
22,16,293364,31,10,11,26,9,7,2,0,0,40,80,0
43,15,241895,25,13,11,27,7,9,3,0,0,42,80,0
67,9,36135,17,7,9,15,6,9,3,0,0,8,80,0
30,9,151989,24,11,7,15,10,9,2,0,0,40,80,0
56,13,101128,23,12,10,23,7,9,3,0,0,25,61,0
31,13,156464,25,13,11,25,9,9,3,0,0,25,80,0
33,13,117963,25,13,9,19,6,9,3,0,0,40,80,1
26,13,192262,27,9,9,23,6,9,3,0,0,40,80,0
33,13,111363,25,13,9,19,6,9,3,0,0,40,80,1
46,11,329752,17,7,9,29,6,9,3,0,0,30,80,0
59,9,372020,25,13,9,15,6,9,3,0,0,40,80,1
38,10,95432,27,9,9,16,6,9,3,0,0,40,80,1
65,13,161400,17,7,13,23,10,8,3,0,0,40,80,0
40,13,96129,24,11,9,28,6,9,3,0,0,40,80,1
42,13,111949,27,9,9,16,11,9,2,0,0,35,80,0
26,15,117125,22,5,9,18,6,9,3,0,0,40,73,0
36,13,348022,16,6,9,23,11,9,2,0,0,24,80,0
62,13,270092,28,14,9,25,6,9,3,0,0,40,80,1
43,13,180609,25,13,9,29,6,9,3,0,0,45,80,0
43,13,174575,25,13,7,19,7,9,3,0,1564,45,80,1
22,13,410439,27,9,10,27,7,9,3,0,0,55,80,0
28,13,92262,27,9,9,18,6,9,3,0,0,40,80,0
56,15,183081,31,10,9,27,6,9,3,0,0,45,80,0
22,13,362589,23,12,11,27,7,9,2,0,0,15,80,0
57,13,212448,25,13,7,19,7,9,2,0,0,45,80,1
39,13,481060,27,9,7,27,10,9,2,0,0,40,80,0
26,10,185885,31,10,11,16,10,9,2,0,0,15,80,0
17,13,89821,17,7,11,23,9,9,3,0,0,10,80,0
40,16,184018,24,11,9,22,6,9,3,0,0,38,80,1
45,13,256649,27,9,9,22,6,7,3,0,0,40,80,0
44,13,160323,27,9,11,18,7,7,3,0,0,40,80,0
20,11,350845,31,10,11,16,9,9,2,0,0,10,80,0
33,13,267404,27,9,9,18,11,9,2,0,0,40,80,0
23,13,35633,31,10,11,27,7,9,3,0,0,40,80,0
46,15,80914,28,14,7,19,7,9,3,0,0,30,80,0
38,13,172927,27,9,9,27,6,9,3,0,0,50,80,0
54,13,174319,27,9,7,29,7,9,3,0,0,40,80,0
46,13,214955,20,3,7,18,7,9,2,0,2339,45,80,0
25,13,344991,31,10,9,18,6,9,3,0,0,40,80,0
46,13,108699,31,10,7,27,7,9,2,0,0,40,80,0
36,11,117312,31,10,9,29,11,9,2,0,0,40,80,0
23,13,396099,27,9,11,23,7,9,2,0,0,25,80,0
29,13,134152,27,9,12,22,7,9,3,0,0,40,80,0
44,13,162028,31,10,9,16,11,9,2,0,2415,6,80,1
19,13,25429,31,10,11,16,9,9,2,0,0,16,80,0
19,13,232392,27,9,11,23,8,9,2,0,0,40,80,0
35,13,220098,27,9,9,23,11,9,2,0,0,40,80,1
27,13,301302,25,13,11,18,7,9,3,0,0,50,80,0
46,15,277946,23,12,12,18,7,9,3,0,0,40,80,0
34,16,98101,25,13,9,19,6,9,3,7688,0,45,41,1
34,13,196164,27,9,11,23,7,9,2,0,0,35,80,0
44,13,115562,31,10,9,28,6,9,3,0,0,40,80,0
45,13,96975,31,10,7,21,10,9,2,0,0,40,80,0
20,9,137300,27,9,11,15,8,9,2,0,0,35,80,0
25,13,86872,25,13,9,19,6,9,3,0,0,55,80,1
52,14,132178,25,13,9,19,6,9,3,0,0,50,80,1
20,13,416103,31,10,11,21,9,9,3,0,0,40,80,0
28,13,108574,31,10,11,23,7,9,2,0,0,40,80,0
50,16,288353,25,13,9,26,6,9,3,0,0,40,80,1
34,13,227689,24,11,7,28,7,9,2,0,0,64,80,0
28,13,166481,21,4,9,21,6,8,3,0,2179,40,74,0
41,13,445382,28,14,9,19,6,9,3,0,1977,65,80,1
28,13,110145,27,9,9,16,6,9,3,0,0,40,80,0
46,15,317253,27,9,9,18,6,9,3,0,0,25,80,0
28,9,123147,31,10,9,15,11,9,2,0,1887,40,80,1
32,13,364657,31,10,9,19,6,9,3,0,0,50,80,0
41,11,42346,31,10,7,23,7,7,2,0,0,24,80,0
24,13,241951,27,9,11,21,10,7,2,0,0,40,80,0
33,13,118500,31,10,7,19,10,9,2,0,0,40,80,0
46,13,188386,26,16,9,19,6,9,3,15024,0,60,80,1
31,16,1033222,31,10,9,22,6,9,3,0,0,40,80,0
35,13,92440,18,8,7,18,7,9,3,0,0,50,80,1
52,13,190762,19,2,9,22,6,9,3,0,0,40,67,0
30,13,426017,17,7,11,23,9,9,2,0,0,19,80,0
34,11,243867,17,7,12,22,7,7,3,0,0,40,80,0
34,16,240283,27,9,7,29,10,9,2,0,0,40,80,0
20,13,61777,31,10,9,27,6,9,3,0,0,30,80,0
17,13,175024,17,7,11,21,9,9,3,2176,0,18,80,0
32,16,92003,25,13,9,19,11,9,2,0,0,40,80,1
29,13,188401,27,9,7,20,7,9,3,0,0,40,80,0
33,13,228528,16,6,11,18,10,9,2,0,0,35,80,0
25,13,133373,27,9,9,29,6,9,3,0,0,60,80,0
36,10,255191,28,14,11,25,7,9,3,0,1408,40,80,0
23,13,204653,27,9,11,21,7,9,3,0,0,72,47,0
63,14,222289,27,9,9,19,6,9,3,0,0,40,80,1
47,11,287480,28,14,9,25,6,9,3,0,0,40,80,0
80,9,107762,27,9,13,15,7,9,3,0,0,24,80,0
17,9,202521,17,7,11,15,9,9,3,0,0,40,80,0
40,15,204116,25,13,10,25,7,9,2,2174,0,40,80,0
30,13,29662,23,12,9,23,11,9,2,0,0,25,80,1
27,13,116358,31,10,11,18,9,6,3,0,1980,40,71,0
33,13,208405,28,14,9,25,6,9,3,0,0,50,80,1
34,11,284843,27,9,11,20,7,7,3,594,0,60,80,0
34,11,117018,31,10,11,26,7,9,2,0,0,40,80,0
23,13,81281,31,10,9,16,6,9,3,0,0,40,80,0
42,11,340148,31,10,9,16,11,9,2,0,0,40,80,0
29,13,363425,25,13,11,25,7,9,3,0,0,40,80,0
45,13,45857,27,9,7,16,7,9,2,0,0,28,80,0
24,10,191073,27,9,11,17,9,9,3,0,0,40,80,0
44,13,116632,31,10,9,25,6,9,3,0,0,40,80,1
27,13,405855,22,5,11,18,8,9,3,0,0,40,67,0
